gid,monitoring_started,monitoring_ended,longitude,latitude,district,name,ms_id,svp (manual),svp (auto),validity,area
319,2021-02-22,2021-10-25,11.7371689,44.7230992,FE,FE22,9.0,0.0,1.42168062960142,valid,BO-FE
221,2020-04-19,2020-10-19,11.9901638,44.3809275,RA,RA38,6.0,,2.51876836035252,valid,FC-RA-RN
147,2020-04-19,2020-10-19,11.0281686,44.6307747,MO,MO04,6.0,6.0,0.881296920900882,valid,MO-RE
210,2020-04-19,2020-10-19,11.9347162,44.3066041,RA,RA27,6.0,,2.75269285170275,invalid,FC-RA-RN
258,2021-02-22,2021-10-25,11.599091,44.60942,BO,BO11,9.0,5.0,0.495049504950495,valid,BO-FE
161,2020-04-19,2020-10-19,10.8973211,44.5769359,MO,MO18,6.0,3.0,2.10532042215211,valid,MO-RE
157,2020-04-19,2020-10-19,10.9566924,44.720497,MO,MO14,6.0,5.0,2.08900010880209,valid,MO-RE
108,2020-04-19,2020-10-19,12.2950465,44.1152676,FC,FC05,6.0,20.0,4.31350827390431,valid,FC-RA-RN
398,2021-02-22,2021-10-25,11.055335,44.658671,MO,MO01,9.0,25.0,12.1223660827621,valid,MO-RE
154,2020-04-19,2020-10-19,10.9973832,44.8694494,MO,MO11,6.0,15.0,5.22250027200522,valid,MO-RE
215,2020-04-19,2020-10-19,11.8519204,44.3241299,RA,RA32,6.0,5.0,1.000979218801,valid,FC-RA-RN
35,2020-04-19,2020-10-19,11.4468115,44.7577221,BO,BO12,6.0,,0.223044282450223,valid,BO-FE
65,2020-04-19,2020-10-19,11.7087481,44.7963039,FE,FE02,6.0,3.0,0.048960940050049,valid,BO-FE
366,2021-02-22,2021-10-25,12.140276,44.212065,FC,FC19,9.0,5.0,3.75729880680376,valid,FC-RA-RN
37,2020-04-19,2020-10-19,11.4468115,44.7577221,BO,BO14,6.0,,0.223044282450223,valid,BO-FE
173,2020-04-19,2020-10-19,10.713018,44.6253754,RE,MO30,6.0,,21.5700141442716,valid,MO-RE
85,2020-04-19,2020-10-19,11.7371689,44.7230992,FE,FE22,6.0,0.0,6.15275813295615,valid,BO-FE
32,2020-04-19,2020-10-19,11.6487917,44.3730931,BO,BO09,6.0,10.0,3.76999238385377,valid,FC-RA-RN
188,2020-04-19,2020-10-19,11.955069,44.565121,RA,RA05,6.0,,9.00881296920901,valid,FC-RA-RN
358,2021-02-22,2021-10-25,12.0662778,44.413179,RA,FC11,9.0,5.0,0.99009900990099,valid,FC-RA-RN
